lat,lon,alt
32.869433,-117.220825,99.5
32.869432,-117.220825,99.5
32.869432,-117.220825,99.5
32.869429,-117.220826,99.4
32.869429,-117.220827,99.4
32.869428,-117.220823,99.7
32.869431,-117.220819,100.3
32.869431,-117.220816,100.2
32.869433,-117.220809,99.9
32.869435,-117.220804,99.8
32.869435,-117.220796,99.7
32.869435,-117.220785,99.6
32.869436,-117.220775,99.5
32.869438,-117.220765,99.5
32.86944,-117.220756,99.5
32.869442,-117.220746,99.5
32.869443,-117.220734,99.4
32.869443,-117.220727,99.5
32.869442,-117.220718,99.6
32.869443,-117.220709,99.5
32.869443,-117.220698,99.5
32.869442,-117.220688,99.6
32.869444,-117.220682,99.2
32.869445,-117.220681,98.8
32.869446,-117.22068,99.1
32.869447,-117.220678,99.3
32.869448,-117.220677,99.3
32.869447,-117.220675,99.3
32.869447,-117.220674,99.2
32.869447,-117.220673,99.2
32.869447,-117.220671,99.2
32.869447,-117.22067,99.2
32.869447,-117.220668,99.2
32.869446,-117.220667,99.2
32.869446,-117.220665,99.2
